source,target,weight,relation_type,description
孙权,黄盖,4,君臣/老将,黄盖是东吴老将，赤壁之战中贡献突出。
孙权,甘宁,4,君臣/将领,甘宁归吴后成为重要猛将。
周瑜,鲁肃,4,同僚/战略传承,鲁肃延续并发展孙刘联盟战略。
鲁肃,吕蒙,3,同僚/战略分歧,二人同为东吴重臣，但对荆州政策存在风格差异。
吕蒙,陆逊,4,同僚/战略接续,吕蒙袭取荆州，陆逊参与后续战略布局。
周瑜,黄盖,4,同僚/赤壁协作,赤壁之战中黄盖苦肉计配合周瑜。
周瑜,甘宁,3,同僚/将领,二人同属东吴军事集团。
鲁肃,陆逊,2,同阵营/战略延续,二人分属东吴不同时期的重要战略人物。
黄盖,甘宁,3,同僚/武将,同为东吴重要武将。
孙策,鲁肃,2,阵营关联,鲁肃主要活动在孙权时期，与孙策直接关系较弱。
孙策,黄盖,3,旧部/将领,黄盖是江东集团早期重要老将。
吕布,董卓,5,义父子/反目,吕布先依附董卓，后因连环计与权力矛盾杀董卓。
吕布,貂蝉,5,情感/连环计,貂蝉与吕布关系是连环计关键。
董卓,貂蝉,4,权力/连环计,董卓与貂蝉关系引发吕布反目。
袁绍,董卓,3,政治对立,袁绍参与讨董联盟，与董卓形成政治对抗。
吕布,张辽,4,主从/旧部,张辽曾为吕布部将，后归曹操。
袁绍,吕布,2,群雄关联,二人同属汉末群雄格局，但直接关系不强。
刘备,曹操,5,核心对手/政治博弈,二人是三国格局中最重要的对手之一，青梅煮酒等情节突出。
关羽,曹操,4,恩义与对立,关羽曾暂归曹营，曹操厚待关羽，但最终关羽回归刘备。
张飞,曹操,3,军事对抗,张飞与曹操势力多次处于敌对状态，长坂坡情节突出。
赵云,曹操,3,军事对抗,长坂坡中赵云与曹操军形成重要冲突关系。
马超,曹操,4,军事对抗,马超与曹操在潼关之战中形成强烈对抗。
黄忠,曹操,2,军事对抗,黄忠战功与曹操集团的战役背景相关。
魏延,司马懿,3,北伐对抗,魏延参与北伐，与曹魏防御体系对抗。
姜维,司马懿,2,北伐关联,姜维延续北伐路线，与司马懿时代的曹魏防线存在间接联系。
诸葛亮,司马懿,5,战略对手,诸葛亮北伐时期与司马懿长期斗智。
庞统,曹操,2,阵营对立,庞统属刘备阵营，与曹操阵营整体对立。
刘备,曹丕,3,政权对立,刘备称帝与曹丕代汉形成政治对立格局。
刘备,孙权,4,联盟与对立,孙刘联盟抗曹，但围绕荆州与夷陵之战又形成冲突。
刘备,陆逊,4,军事对抗,夷陵之战中陆逊击败刘备，是蜀吴关系转折点。
诸葛亮,孙权,4,外交/联盟,诸葛亮推动孙刘联盟共同抗曹。
诸葛亮,周瑜,5,联盟与斗智,赤壁时期二人既合作抗曹，也存在智谋竞争。
诸葛亮,鲁肃,4,外交协作,鲁肃与诸葛亮共同维护孙刘联盟。
诸葛亮,陆逊,3,战略对照,二人分别代表蜀吴后期重要战略人物。
关羽,孙权,3,荆州矛盾,关羽镇守荆州时期与孙权集团关系紧张。
关羽,鲁肃,3,外交/荆州谈判,围绕荆州问题存在单刀会等情节。
关羽,吕蒙,5,关键敌对,吕蒙袭取荆州直接导致关羽败亡。
关羽,陆逊,3,荆州战略对抗,陆逊在东吴荆州策略中发挥作用。
张飞,孙权,2,阵营对立,张飞属蜀汉核心，受蜀吴关系变化影响。
赵云,孙权,2,阵营关联,赵云属蜀汉核心，与东吴整体格局相关。
庞统,鲁肃,2,谋士关联,两人均服务于孙刘联盟时期的战略环境。
曹操,孙权,4,核心对手,曹操南征与孙权势力形成长期对抗。
曹操,周瑜,4,赤壁对抗,赤壁之战中周瑜是抗曹主将。
曹操,鲁肃,3,战略对立,鲁肃主张联刘抗曹，与曹操南征目标相对。
曹操,黄盖,4,赤壁诈降,黄盖诈降曹操是赤壁之战关键情节。
曹操,甘宁,3,军事对抗,甘宁参与东吴对曹魏的军事行动。
曹丕,孙权,3,政权博弈,魏吴之间既有册封联盟，也有军事对抗。
司马懿,陆逊,2,时代战略关联,二人分别代表魏吴后期战略力量，直接互动较弱。
张辽,孙权,5,合肥对抗,张辽在合肥之战中重创孙权军，关系非常典型。
张辽,甘宁,3,军事对抗,魏吴交战背景下的武将对抗关系。
夏侯惇,孙权,2,阵营对立,曹魏与东吴长期对立的间接关系。
许褚,周瑜,2,阵营对立,曹魏武将集团与东吴赤壁军事集团的间接对立。
曹操,袁绍,5,核心对手,官渡之战是曹操统一北方的关键转折。
曹操,吕布,4,军事对抗,曹操最终击败吕布，改变中原格局。
曹操,董卓,3,政治对立,曹操曾参与反董卓政治军事行动。
刘备,吕布,3,盟友与对立,刘备与吕布既有收留合作，也有徐州争夺。
刘备,袁绍,2,依附/政治关联,刘备曾依附袁绍阵营。
张飞,吕布,3,个人对抗,张飞与吕布在小说中有多次冲突。
关羽,吕布,3,武力对照/对抗,虎牢关等情节使二人存在强烈武力比较。
孙策,曹操,2,政权关联,孙策崛起与曹操北方政治格局同时展开。
